"entity_id","CategoryName","sku","name","description","shortdesc","price","link","image","Brand","Rating","CaffeineType","Count","Flavored","Seasonal","Instock","Facebook","IsKCup"
"397","Flavored Coffee Beans","06-1655","Barrie House Chocolate Raspberry Cream Coffee Beans 3 5lb Bags","","Barrie House Chocolate Raspberry Cream Coffee Beans 3 5lb Bags bulk quantity makes many pots of distinctly fresh berry flavored coffee from Barrie House Coffee Beans.","129.9900","http://www.coffeeforless.com/barrie-house-chocolate-raspberry-cream-coffee-beans-3-5lb-bags.html","http://mcdn.coffeeforless.com/media/catalog/product//b/a/barrie-house-chocolate-raspberry-cream-coffee-beans-3-5lb-bags.jpg","Barrie House","0","Caffeinated","","Yes","No","No","1","0"
"399","Green Mountain K-Cup&reg; Coffee","6694C","Green Mountain Coffee French Roast K-Cup&reg; Coffee 96ct Dark","","Green Mountain Coffee French Roast K-Cup&amp;reg; Pods 96ct Dark case makes 96 individual servings of full-roasted, smoky dark roast coffee from Green Mountain K-Cup&amp;reg; Pods.","59.9600","http://www.coffeeforless.com/green-mountain-coffee-french-roast-k-cups-96ct-dark.html","http://mcdn.coffeeforless.com/media/catalog/product//g/r/green-mountain-coffee-french-roast-k-cups-96ct-dark-914.jpg","Green Mountain Coffee","5","Caffeinated","96","No","No","Yes","0","1"
"403","Bigelow Tea","156","Bigelow's Cranberry Apple Herbal Caffeine Free Tea 28ct","","Bigelow's Cranberry Apple Herbal Caffeine Free Tea 28ct box allow you to make 28 individual servings of fruity herbal tea when you serve Bigelow Tea.","5.9500","http://www.coffeeforless.com/bigelows-cranberry-apple-herbal-caffeine-free-tea-28ct.html","http://mcdn.coffeeforless.com/media/catalog/product//b/i/bigelow-cranberry-apple-tea-bags.png","Bigelow","5","Caffeine Free","","Yes","No","Yes","1","0"
"404","Bigelow Tea","166","Bigelow's Constant Comment Decaf Tea 20ct","","Bigelow's Constant Comment Decaf Tea 20ct box allow you to prepare 20 single cups of flavorful, complicated blended tea when you make Bigelow Tea.","5.9500","http://www.coffeeforless.com/bigelows-constant-comment-decaf-tea-20ct.html","http://mcdn.coffeeforless.com/media/catalog/product//b/i/bigelow-constant-comment-decaf-tea-bags.jpg","Bigelow","0","Decaffeinated","","Yes","No","No","1","0"
"407","Bigelow Tea","153","Bigelow's Darjeeling Tea 28ct","","Bigelow's Darjeeling Tea 28ct box allow you to make 28 individual servings of spiced, sweet black tea when you serve Bigelow Tea.","5.9500","http://www.coffeeforless.com/bigelow-s-darjeeling-tea-28ct.html","http://mcdn.coffeeforless.com/media/catalog/product/images/coffeepods/bigelows-darjeeling-tea-28ct.jpg","Bigelow","4","Caffeinated","","No","No","Yes","1","0"
"408","Celestial Seasonings Tea","124","Celestial Seasonings Peppermint Caffeine Free Tea 25ct","","Celestial Seasonings Peppermint Caffeine Free 25ct box allow you to prepare 25 single cups of cool mint herbal tea when you make Celestial Seasonings Tea.","5.9500","http://www.coffeeforless.com/celestial-seasonings-peppermint-caffeine-free-25ct.html","http://mcdn.coffeeforless.com/media/catalog/product/images/coffeepods/celestial-seasonings-peppermint-caffeine-free-tea-bags-25ct.jpg","Celestial Seasonings","5","Caffeine Free","","Yes","No","Yes","1","0"
"409","Flavored Coffee Beans","06-1754","Barrie House Orange Cappuccino Coffee Beans 3 5lb Bags","","Barrie House Orange Cappuccino Coffee Beans 3 5lb Bags bulk quantity produces many pots of delicious, aromatic specialty coffee from Barrie House Coffee Beans.","129.9900","http://www.coffeeforless.com/barrie-house-orange-cappuccino-coffee-beans-3-5lb-bags.html","http://mcdn.coffeeforless.com/media/catalog/product//b/a/barrie-house-orange-cappuccino-coffee-beans-3-5lb-bags.jpg","Barrie House","","Caffeinated","","Yes","No","No","1","0"
"411","Flavored Ground Coffee","85-101-1-24","Barrie House Hazelnut Ground Coffee 24 1.75oz Bags","","Barrie House Hazelnut Ground Coffee 24 1.75oz Bags enable you to produce mug after mug of hazelnut flavored coffee from Barrie House Ground Coffee.","29.9900","http://www.coffeeforless.com/barrie-house-hazelnut-creme-de-noisette-ground-coffee-24-1-75oz-bags.html","http://mcdn.coffeeforless.com/media/catalog/product/images/coffeepods/barrie-house-hazelnut-creme-de-noisette-ground-coffee-24-1-75oz-bags.jpg","Barrie House","5","Caffeinated","24","Yes","No","Yes","1","0"
"412","Straws","180","7 3/4 inch Wrapped Flexible Plastic Drinking Straws 1600ct","","7 3/4 inch Wrapped Flexible Plastic Drinking Straws 1600ct supply your coffee or beverage service at home or at the office with disposable Straws.","79.9900","http://www.coffeeforless.com/7-3-4-inch-wrapped-flexible-plastic-drinking-straws-1600ct.html","http://mcdn.coffeeforless.com/media/catalog/product/images/uploads/7_34_straws.jpg","Generic","0","","1600","","","Yes","1","0"
"413","Sweetener","25810940","Equal Packets 500ct","","Equal Packets 500ct box allows you enjoy the sweetening power of 500 individual servings of sugar-free packet-packaged Equal Sweetener.","23.5000","http://www.coffeeforless.com/equal-packets-500ct.html","http://mcdn.coffeeforless.com/media/catalog/product/images/coffeepods/equal-packets-500ct.jpg","Equal","5","","500","","","Yes","1","0"
"417","Celestial Seasonings Tea","121","Celestial Seasonings Mandarin Orange Spice Caffeine Free Tea 25ct","","Celestial Seasonings Mandarin Orange Spice Caffeine Free 25ct box allow you to steep 25 individual cups of sweet, citric herbal tea from Celestial Seasonings Tea.","5.9500","http://www.coffeeforless.com/celestial-seasonings-mandarin-orange-spice-caffeine-free-25ct.html","http://mcdn.coffeeforless.com/media/catalog/product/images/uploads/intro/mandarin-orange-spice-med.jpg","Celestial Seasonings","5","Decaffeinated","","Yes","No","Yes","1","0"
"418","Tazo Tea","399","Tazo Darjeeling Tea 24ct Box","","Tazo Darjeeling Tea 24ct box allow you to brew 24 single servings of sweet, spicy black tea when you steep Tazo Tea.","6.5000","http://www.coffeeforless.com/tazo-darjeeling-tea-24ct-box.html","http://mcdn.coffeeforless.com/media/catalog/product/images/coffeepods/tazo-darjeeling-tea-24ct-box.jpg","Tazo","4","Caffeinated","","No","No","No","1","0"
"419","Green Mountain K-Cup&reg; Coffee","6003C","Green Mountain Coffee Colombian Fair Trade Select K-Cup&reg; Coffee 96ct","","Green Mountain Coffee Colombian Fair Trade Select K-Cup&amp;reg; Pods 96ct case infuses 96 individual servings of full-roasted, smoky dark roast coffee from Green Mountain K-Cup&amp;reg; Pods.","59.9600","http://www.coffeeforless.com/green-mountain-coffee-colombian-fair-trade-select-k-cups-96ct.html","http://mcdn.coffeeforless.com/media/catalog/product//g/r/green-mountain-coffee-colombian-fair-trade-select-k-cups-96ct-914.jpg","Green Mountain Coffee","5","Caffeinated","96","No","No","Yes","0","1"
"420","Flavored Coffee Beans","06-1765","Barrie House Super Chocolate Supreme Ground Coffee 3 5lb Bags","","Barrie House Super Chocolate Supreme Ground Coffee 3 5lb Bags allow you to make cup after cup of decadent chocolate flavored coffee from Barrie House Ground Coffee.","129.9900","http://www.coffeeforless.com/barrie-house-super-chocolate-supreme-ground-coffee-3-5lb-bags.html","http://mcdn.coffeeforless.com/media/catalog/product//b/a/barrie-house-super-chocolate-supreme-ground-coffee-3-5lb-bags.jpg","Barrie House","0","Caffeinated","","Yes","No","No","1","0"
"424","Coffee Cups","226","14oz Styrofoam Coffee Cups 1000ct","","14oz Styrofoam Coffee Cups 1000ct case allow you to stock your beverage service supplies with 1000 long-lasting, heat resistant Styrofoam hot beverage cups..","75.0000","http://www.coffeeforless.com/14oz-styrofoam-coffee-cups-1000ct.html","http://mcdn.coffeeforless.com/media/catalog/product/images/uploads/DART_14oz_foam.jpg","Dart","0","","1000","","","Yes","1","0"
